,Average Distance,Penalties,Score
171,179.82362027883818,131.10729550879242,310.9309157876306
172,179.69277666843522,130.8881815236982,310.5809581921334
173,179.01412019148827,130.41789748161136,309.4320176730996
174,179.30656874081993,130.44866748502116,309.7552362258411
175,176.49451035914768,128.30774871644988,304.8022590755976
176,178.97441748255386,130.3374198061279,309.3118372886818
177,178.1693550399644,129.53486053875008,307.70421557871447
178,178.37678103322244,129.77113285595985,308.1479138891823
179,179.38559443932346,130.58769681913392,309.9732912584574
180,180.05383791614142,131.33568011106237,311.3895180272038
181,178.63398966352975,130.05243479955183,308.6864244630816
182,176.97636777768884,128.4683043450728,305.44467212276163
183,179.0457310921325,130.64977303814118,309.69550413027366
184,178.94275457069782,130.26987508402746,309.2126296547253
185,180.59860241968622,132.01525703151637,312.6138594512026
186,177.38085160943152,128.7263274830727,306.1071790925042
187,177.8712443679237,129.5615804812704,307.4328248491941
188,180.74299266889457,132.286021321058,313.02901398995255
189,181.01132477125643,132.33221976715865,313.3435445384151
190,178.29692521321772,129.92328370110576,308.2202089143235
191,180.45776658763796,131.85825661746796,312.3160232051059
192,176.2869860455158,127.82694567197622,304.113931717492
193,179.84373770787244,130.939532120415,310.7832698282874
194,180.2967865737749,131.7280525646646,312.0248391384395
195,177.7955244550825,129.17816230698034,306.9736867620628
196,180.42449655821554,131.65963890593792,312.08413546415346
197,178.40189405694903,129.79600988845047,308.1979039453995
198,181.29807452583236,132.69789622485266,313.99597075068505
199,179.24066675846225,130.56559932290904,309.8062660813713
200,178.1653748280189,129.5270532758537,307.6924281038726
201,179.47426305590162,130.74661582152075,310.22087887742236
202,180.14755233250588,131.46427103609528,311.61182336860116
203,178.19296715774374,129.58939482195916,307.7823619797029
204,178.5134802490999,129.80037692045397,308.3138571695539
205,178.0737650839112,129.5029211018559,307.57668618576713
206,177.8225978708981,129.31829873349895,307.1408966043971
207,178.81923247807595,130.30210329777387,309.12133577584984
208,178.8870243714763,130.54054837546883,309.4275727469451
209,178.1118336713905,129.48246105996395,307.59429473135447
210,180.01601701010668,131.41726278435385,311.43327979446053
211,182.13121502739787,133.47765475668567,315.60886978408354
212,178.69598681096997,130.11848965366067,308.8144764646306
213,181.52539496903765,132.9909025183886,314.51629748742624
214,178.2070849208402,129.5741249744264,307.7812098952666
215,180.6842937937986,132.11771328851867,312.80200708231723
216,177.9830193171538,129.41536602367384,307.39838534082764
217,178.97376766761323,130.2420390472015,309.21580671481473
218,178.4632921507022,129.9363416289152,308.3996337796174
219,180.3123948614189,131.5882619319012,311.9006567933201
220,180.9960285785923,132.32398713527203,313.32001571386434
221,177.9056539200543,129.45220529981975,307.35785921987406
222,177.5677108222122,128.98083796093331,306.5485487831455
223,179.5921879737414,130.6900169759852,310.28220494972663
224,178.8549048468223,129.95161203175994,308.8065168785822
225,178.89374491664222,130.41706857616055,309.31081349280277
226,180.6604605053179,132.01641256271614,312.67687306803407
227,180.15538689675344,131.38111167129426,311.5364985680477
228,177.43684104873145,129.02223882799942,306.45907987673087
229,177.17002584113644,128.64176204393783,305.8117878850743
230,180.3290600475886,131.68256463052265,312.0116246781113
231,178.62813261160622,129.9348622777534,308.56299488935963
232,178.92611945703004,129.9206919041356,308.84681136116563
233,178.75630629497627,130.04591976228747,308.80222605726374
234,179.50023635947292,130.72799517268254,310.22823153215546
235,177.09621562318043,128.67231024891618,305.7685258720966
236,178.666578235687,130.21684712845243,308.88342536413944
237,178.88695787006696,130.2107317161089,309.0976895861759
238,176.5815720780364,128.13888247357397,304.7204545516104
239,177.25381655493464,128.9065347459691,306.16035130090376
240,178.05793612766402,129.47478007696427,307.5327162046283
241,176.97589184616277,128.69439401334697,305.6702858595097
242,180.81251346993687,131.8486737834283,312.66118725336514
243,180.4181841601352,131.49810214330944,311.9162863034446
244,179.78768575294112,130.81251160309805,310.6001973560392
245,178.5416790922139,129.83043451215352,308.3721136043674
246,178.29160532286116,129.95081760436454,308.2424229272257
247,178.67990652229955,130.2541154366993,308.93402195899887
248,181.08737497051942,132.2107335671489,313.2981085376683
249,178.32563400854667,129.7466765258902,308.07231053443684
250,177.6865244772971,129.15510856349553,306.84163304079266
251,179.49425515937955,130.8216636319353,310.31591879131486
252,177.56441778124767,129.01182154513126,306.5762393263789
253,178.2314556051732,129.95092461396072,308.18238021913396
254,175.45180095664233,127.26895178040819,302.72075273705053
255,179.39339983650942,130.7103643967071,310.1037642332165
256,179.45630215542076,130.87165446441617,310.3279566198369
257,178.77790873540124,130.13919911344925,308.9171078488505
258,178.76995361929647,130.2805477568318,309.0505013761283
259,177.11247294804244,128.77890475912125,305.89137770716366
260,178.27043510029003,129.69509185055287,307.9655269508429
261,179.18737292955234,130.62477789468556,309.8121508242379
