,s1_afv_nodes,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,uses_container,aantal_per_fractie,volume_per_fractie,street_name,totaal,glas,papier,plastic,rest,textiel
2832,726384,128480,484940,243050.0,128480.091~484940.366~afval_cluster~128480.091|484940.366,794.0,2020-04-01 13:57:12,2020-04-01 13:57:12,7d0713c7-23c4-8d10-198a-2997af7138bc,False,357.0,afval_cluster,128480.091|484940.366,True,['Rest:1'],['Rest:4.69 m3'],Mattenbiesstraat,1,0.0,1.0,0.0,0.0,0.0
2833,726413,122140,484715,243079.0,122140.113~484715.000~afval_cluster~122140.113|484715.000,63844.0,2020-04-01 13:57:12,2020-04-01 13:57:12,bca0b9c5-7b18-5627-ce77-70ddc4426b31,False,357.0,afval_cluster,122140.113|484715.000,True,['Rest:1'],['Rest:5 m3'],Jozef Israëlskade,1,0.0,0.0,0.0,1.0,0.0
2834,726463,118196,485505,243129.0,118196.394~485504.941~afval_cluster~118196.394|485504.941,87961.0,2020-04-01 13:57:12,2020-04-01 13:57:12,5035cd40-d736-4da4-ba9a-7d4ca8db846e,False,357.0,afval_cluster,118196.394|485504.941,True,['Rest:2'],['Rest:10 m3'],Saskia van Uijlenburgkade,2,1.0,0.0,0.0,1.0,0.0
2835,726609,124727,489566,243276.0,124727.245~489566.262~afval_cluster~124727.245|489566.262,112892.0,2020-04-01 13:57:12,2020-04-01 13:57:12,17692d11-769d-f358-3290-36ba77f48f30,False,357.0,afval_cluster,124727.245|489566.262,True,['Rest:1'],['Rest:5 m3'],Enkhuizerstraat,1,0.0,0.0,0.0,1.0,0.0
2836,726622,121251,484309,243289.0,121251.142~484308.563~afval_cluster~121251.142|484308.563,28886.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9e99ca49-0a15-308b-9cce-2a09e6e77cb1,False,357.0,afval_cluster,121251.142|484308.563,True,['Rest:2'],['Rest:8 m3'],Diezestraat,2,0.0,0.0,1.0,1.0,0.0
2837,726724,129395,484439,243390.0,129395.112~484439.082~afval_cluster~129395.075|484438.885,7180.0,2020-04-01 13:57:12,2020-04-01 13:57:12,558cfb21-33c6-116f-d8f5-b6283f9f0930,False,357.0,afval_cluster,129395.075|484438.885,True,['Rest:29'],['Rest:136.32 m3'],Peter Martensstraat,29,2.0,5.0,3.0,18.0,1.0
2838,726797,118902,488546,243463.0,118902.430~488546.432~afval_cluster~118902.430|488546.432,21820.0,2020-04-01 13:57:12,2020-04-01 13:57:12,7fa543c3-8d09-4907-856f-83cafd3af741,False,357.0,afval_cluster,118902.430|488546.432,True,['Rest:1'],['Rest:5 m3'],Adolf van Nassaustraat,1,0.0,0.0,1.0,0.0,0.0
2839,726826,120939,485243,243492.0,120938.627~485242.859~afval_cluster~120938.627|485242.859,71764.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b0f0938e-183a-da72-571d-69f11bbd0475,False,357.0,afval_cluster,120938.627|485242.859,True,['Rest:1'],['Rest:5 m3'],Govert Flinckstraat,1,0.0,0.0,0.0,1.0,0.0
2840,727001,120294,487738,243670.0,120294.188~487737.630~afval_cluster~120294.188|487737.630,61541.0,2020-04-01 13:57:12,2020-04-01 13:57:12,27b5d43b-f51e-eff3-713a-fc891b29ece5,False,357.0,afval_cluster,120294.188|487737.630,False,"['Rest:2', 'Plastic:2']","['Rest:6 m3', 'Plastic:6 m3']",Nieuwe Tuinstraat,4,0.0,2.0,1.0,1.0,0.0
2841,727007,116296,488262,243676.0,116296.474~488262.464~afval_cluster~116296.474|488262.464,141427.0,2020-04-01 13:57:12,2020-04-01 13:57:12,787a7b2f-6a4a-dfdd-fbb6-8cb1cba6ed85,False,357.0,afval_cluster,116296.474|488262.464,False,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:10 m3', 'Glas:4 m3', 'Papier:5 m3']",Bernard Loderstraat,4,2.0,0.0,0.0,2.0,0.0
