,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest
73,113769,484919,610960.0,54537.0,afval_cluster,113768.825|484918.957,['Rest:2'],['Rest:8 m3'],Ladogameerhof,F84b,F84,F,2,0,0,0,0,2,True
74,113782,485156,501989.0,13625.0,afval_cluster,113781.869|485156.139,['Rest:1'],['Rest:3 m3'],Trijn Hullemanlaan,F84a,F84,F,0,0,0,1,0,1,True
75,113784,485263,931645.0,140180.0,afval_cluster,113784.156|485263.238,['Rest:2'],['Rest:8 m3'],Karl Grögersingel,F84a,F84,F,1,1,0,0,0,2,True
76,113785,485683,501783.0,79157.0,afval_cluster,113785.381|485683.201,['Rest:2'],['Rest:10 m3'],Hoogheemraadweg,F83a,F83,F,2,0,0,0,0,2,True
77,113791,485151,962800.0,28947.0,afval_cluster,113790.734|485150.916,['Rest:1'],['Rest:5 m3'],Trijn Hullemanlaan,F84a,F84,F,1,0,0,0,0,1,True
78,113804,485542,778212.0,37604.0,afval_cluster,113804.261|485542.373,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:10 m3', 'Glas:3 m3', 'Papier:3 m3']",Wierdestraat,F83a,F83,F,2,0,1,1,0,4,True
79,113808,484673,886462.0,73154.0,afval_cluster,113807.583|484673.223,"['Glas:1', 'Papier:1']","['Glas:3 m3', 'Papier:5 m3']",Lomondlaan,F84b,F84,F,1,0,0,1,0,2,True
80,113808,484893,933815.0,71605.0,afval_cluster,113807.715|484893.040,"['Rest:2', 'Textiel:1']","['Rest:8 m3', 'Textiel:3 m3']",Ladogameerhof,F84b,F84,F,2,0,0,0,1,3,True
81,113810,484946,621923.0,115738.0,afval_cluster,113810.041|484945.517,['Rest:2'],['Rest:8 m3'],Ernst Cahnsingel,F84a,F84,F,2,0,0,0,0,2,True
82,113815,484683,847595.0,10207.0,afval_cluster,113814.528|484683.268,['Rest:2'],['Rest:8 m3'],Lomondlaan,F84b,F84,F,2,0,0,0,0,2,True
83,113823,485069,901239.0,45037.0,afval_cluster,113822.559|485069.237,['Rest:3'],['Rest:13 m3'],Eduard Hellendoornstraat,F84a,F84,F,3,0,0,0,0,3,True
84,113829,484738,693993.0,125432.0,afval_cluster,113829.086|484737.930,['Rest:1'],['Rest:5 m3'],Vätternkade,F84b,F84,F,1,0,0,0,0,1,True
