"ligtin_bag_pnd_identificatie","aantal_woonfunctie","aantal_niet_woonfunctie","min_verdiepingtoegang"
"0363100012061831","1","0","0"
"0363100012061832","1","0","0"
"0363100012061833","0","1",NULL
"0363100012061834","4","0","0"
"0363100012061835","14","1","1"
"0363100012061836","1","0","0"
"0363100012061837","6","0","0"
"0363100012061838","3","1","1"
"0363100012061839","1","0","0"
"0363100012061840","1","0","0"
"0363100012061841","1","0","0"
"0363100012061842","8","0","1"
"0363100012061844","1","0","0"
"0363100012061845","1","0","0"
"0363100012061846","7","0","0"
"0363100012061847","2","1","1"
"0363100012061848","9","0","0"
"0363100012061849","0","1","0"
"0363100012061850|0363100012144956","0","1",NULL
"0363100012061851","1","0","0"
"0363100012061852","3","0","0"
"0363100012061853","3","0","0"
"0363100012061854","2","0","0"
"0363100012061855","0","1",NULL
"0363100012061856","1","0","0"
"0363100012061857","8","0","0"
"0363100012061858","3","1","1"
"0363100012061859","1","0","0"
"0363100012061860","3","1","0"
"0363100012061861","6","0","0"
"0363100012061862","1","0","0"
"0363100012061863","1","0","0"
"0363100012061864","0","1",NULL
"0363100012061865","1","0","0"
"0363100012061866","1","0","0"
"0363100012061867","3","0","0"
"0363100012061868","18","0","0"
"0363100012061869","1","0","0"
"0363100012061870","0","1",NULL
"0363100012061871","6","0","0"
"0363100012061872","4","0","0"
"0363100012061873","0","1","0"
"0363100012061874","9","0","0"
"0363100012061875","3","0","0"
"0363100012061876","1","0","0"
"0363100012061877","1","0","0"
"0363100012061878","1","0","0"
"0363100012061880","1","0","0"
"0363100012061881","1","0","0"
"0363100012061882","1","0","0"
"0363100012061883","0","14","0"
"0363100012061884","0","1","0"
"0363100012061885","1","0","0"
"0363100012061886","2","0","0"
"0363100012061887","1","0","0"
"0363100012061888","0","1",NULL
"0363100012061889","2","1","1"
"0363100012061891","1","0","0"
"0363100012061892","1","0","0"
"0363100012061893","1","0","0"
"0363100012061894","1","0","0"
"0363100012061895","0","1",NULL
"0363100012061896","6","0","0"
"0363100012061897","8","0","0"
"0363100012061898","1","0","0"
"0363100012061899","1","0","0"
"0363100012061900","1","0","0"
"0363100012061901","3","0","0"
"0363100012061902","3","0","0"
"0363100012061903","1","0","0"
"0363100012061904","4","0","0"
"0363100012061905","1","0","0"
"0363100012061906","0","1",NULL
"0363100012061907","2","0","0"
"0363100012061908","0","1",NULL
"0363100012061909","1","0","0"
"0363100012061910","1","0","0"
"0363100012061911","3","0","0"
"0363100012061912","3","0","0"
"0363100012061913","2","0","1"
"0363100012061914","1","0","0"
"0363100012061915","1","0","0"
"0363100012061916","1","0","0"
"0363100012061917","2","0","0"
"0363100012061918","1","0","0"
"0363100012061919","4","0","0"
"0363100012061920","3","1","0"
"0363100012061921","1","0","0"
"0363100012061922","1","0","0"
"0363100012061923","3","0","0"
"0363100012061924","4","0","0"
"0363100012061925","2","0","0"
"0363100012061926","0","1","0"
"0363100012061927","1","0","0"
"0363100012061928","0","1",NULL
"0363100012061929","1","0","0"
"0363100012061930","3","1","0"
"0363100012061931","1","0","0"
"0363100012061932","3","0","0"
"0363100012061933","8","0","0"
"0363100012061934","1","0","0"
"0363100012061935","0","1",NULL
"0363100012061936","2","0","0"
"0363100012061937","1","0","0"
"0363100012061938","1","0","0"
"0363100012061939","1","0","1"
"0363100012061940","4","0","0"
"0363100012061941","0","1","0"
"0363100012061942","1","0","0"
"0363100012061943","1","0","0"
"0363100012061944","2","1","0"
"0363100012061945","0","1","0"
"0363100012061946","1","0","0"
"0363100012061947","1","0","0"
"0363100012061948","4","0","0"
"0363100012061949","1","0","0"
"0363100012061950","1","0","0"
"0363100012061951","1","0","0"
"0363100012061952","4","0","0"
"0363100012061953","0","1",NULL
"0363100012061954","2","0","0"
"0363100012061955","8","0","0"
"0363100012061956","3","1","1"
"0363100012061957","4","0","0"
"0363100012061958","0","1","0"
"0363100012061959","1","0","0"
"0363100012061960","4","0","0"
"0363100012061961","88","10","0"
"0363100012061962","0","1",NULL
"0363100012061963","5","0","0"
"0363100012061964","1","0","0"
"0363100012061965","5","0","0"
"0363100012061966","5","0","1"
"0363100012061967","1","0","0"
"0363100012061968","1","0","0"
"0363100012061969","1","0","0"
"0363100012061970","1","0","0"
"0363100012061971","1","0","0"
"0363100012061972","2","0","0"
"0363100012061973","7","1","0"
"0363100012061974","1","0","0"
"0363100012061975","4","0","0"
"0363100012061976","1","0","0"
"0363100012061977","1","0","0"
"0363100012061978","1","0","0"
"0363100012061979","4","0","0"
"0363100012061980","4","0","0"
"0363100012061981","1","0","0"
"0363100012061982","0","1","0"
"0363100012061983","1","0","0"
"0363100012061984","1","0","0"
"0363100012061985","0","1",NULL
"0363100012061986","1","0","0"
"0363100012061987","1","0","0"
"0363100012061988","4","0","0"
"0363100012061989","1","0","0"
"0363100012061990","0","1",NULL
"0363100012061991","1","0","0"
"0363100012061992","3","0","2"
"0363100012061993","2","0","0"
"0363100012061994","4","0","0"
"0363100012061995","0","1",NULL
"0363100012061996","1","0","0"
"0363100012061997","3","1","0"
"0363100012061998","1","0","0"
"0363100012061999","1","0","0"
"0363100012062000","1","0","0"
"0363100012062001","1","0","0"
"0363100012062002","0","1",NULL
"0363100012062003","4","0","0"
"0363100012062004","4","0","0"
"0363100012062005","1","0","0"
"0363100012062006","1","0","0"
"0363100012062007","3","1","1"
"0363100012062008","4","0","0"
"0363100012062009","9","0","0"
"0363100012062010","24","0","1"
"0363100012062011","1","0","0"
"0363100012062012","1","0","0"
"0363100012062013","16","3","0"
"0363100012062014","8","0","0"
"0363100012062015","1","0","0"
"0363100012062016","5","0","0"
"0363100012062017","7","0","0"
"0363100012062018","0","1",NULL
"0363100012062019","4","0","0"
"0363100012062020","1","0","0"
"0363100012062021","1","0","0"
"0363100012062022","1","0","0"
"0363100012062023","1","0","0"
"0363100012062024","7","1","0"
"0363100012062025","2","0","0"
"0363100012062026","2","0","0"
"0363100012062027","1","0","0"
"0363100012062028","0","4","0"
"0363100012062029","1","0","0"
"0363100012062030","1","0","0"
"0363100012062031","1","0","0"
"0363100012062032","2","0","0"
"0363100012062033","1","0","0"
"0363100012062034","1","0","0"
"0363100012062035","4","0","0"
"0363100012062036","1","0","0"
"0363100012062037","4","0","0"
"0363100012062038","1","0","0"
"0363100012062039","1","0","0"
"0363100012062040","4","1","1"
"0363100012062041","8","0","0"
"0363100012062042","1","0","0"
"0363100012062043","1","0","0"
"0363100012062044","1","0","0"
"0363100012062045","1","0","0"
"0363100012062046","1","0","0"
"0363100012062047","1","0","0"
"0363100012062048","1","0","0"
"0363100012062049","4","0","0"
"0363100012062050","1","0","0"
"0363100012062051","0","8","0"
"0363100012062052","1","1","0"
"0363100012062053","17","0","0"
"0363100012062054","36","1","0"
"0363100012062055","1","0","0"
"0363100012062056","9","0","0"
"0363100012062057","3","1","0"
"0363100012062058","2","0","1"
"0363100012062059","5","0","0"
"0363100012062060","1","0","0"
"0363100012062061","4","0","0"
"0363100012062063","3","0","0"
"0363100012062064","1","0","0"
"0363100012062065","6","1","1"
"0363100012062066","0","1",NULL
"0363100012062067","9","0","1"
"0363100012062068","9","0","0"
"0363100012062069","3","0","0"
"0363100012062070","7","1","0"
"0363100012062071","1","1","0"
"0363100012062072","1","0","0"
"0363100012062073","0","1",NULL
"0363100012062074","3","0","0"
"0363100012062075","2","0","0"
"0363100012062076","1","0","0"
"0363100012062077","1","0","0"
"0363100012062078","1","0","0"
"0363100012062079","4","0","0"
"0363100012062080","1","0","0"
"0363100012062081","1","0","0"
"0363100012062082","1","0","0"
"0363100012062083","4","0","0"
"0363100012062084","4","1","1"
"0363100012062085","8","0","1"
