,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
1363,124600,485792,966192.0,27969.0,afval_cluster,124600.188|485791.735,"['Rest:2', 'Papier:1']","['Rest:9.38 m3', 'Papier:5 m3']",Molukkenstraat,M32b,M32,M,2,0,1,0,0,3,True,0.0
1364,124602,485345,709744.0,147293.0,afval_cluster,124602.016|485345.250,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:3 m3', 'Papier:5 m3', 'Plastic:4 m3']",Archimedesweg,M56c,M56,M,1,1,1,1,0,4,True,0.0
1365,124602,487388,662686.0,111247.0,afval_cluster,124601.901|487387.736,"['Rest:3', 'Plastic:1']","['Rest:14.07 m3', 'Plastic:4.69 m3']",C.J.K. van Aalststraat,M33e,M33,M,3,1,0,0,0,4,True,0.0
1366,124629,484757,505386.0,72819.0,afval_cluster,124628.806|484757.421,['Rest:2'],['Rest:10 m3'],Biothof,M56c,M56,M,2,0,0,0,0,2,True,0.0
1367,124629,484875,871574.0,155325.0,afval_cluster,124628.547|484875.171,['Rest:2'],['Rest:10 m3'],Lord Kelvinstraat,M56c,M56,M,2,0,0,0,0,2,True,0.0
1368,124629,486770,587200.0,33918.0,afval_cluster,124629.153|486770.086,['Rest:3'],['Rest:14.07 m3'],H.J.M. Walenkampstraat,M33h,M33,M,3,0,0,0,0,3,True,0.0
1369,124633,483488,620350.0,139175.0,afval_cluster,124632.760|483487.974,['Rest:3'],['Rest:15 m3'],Onderlangs,M57a,M57,M,3,0,0,0,0,3,True,0.0
1370,124641,486573,487690.0,72116.0,afval_cluster,124640.696|486573.275,['Rest:1'],['Rest:4.69 m3'],Zeeburgerdijk,M32a,M32,M,1,0,0,0,0,1,True,0.0
1371,124642,484604,642236.0,54087.0,afval_cluster,124642.443|484604.286,['Rest:1'],['Rest:5 m3'],Kruislaan,M56d,M56,M,1,0,0,0,0,1,True,0.0
1372,124642,486110,671615.0,10289.0,afval_cluster,124642.206|486109.578,['Rest:2'],['Rest:9.38 m3'],Insulindeweg,M32a,M32,M,2,0,0,0,0,2,True,0.0
1373,124645,487131,498985.0,137680.0,afval_cluster,124644.731|487131.046,['Rest:1'],['Rest:4.69 m3'],Feike de Boerlaan,M33f,M33,M,1,0,0,0,0,1,True,0.0
1374,124646,487122,923341.0,50152.0,afval_cluster,124646.199|487121.508,['Rest:1'],['Rest:4.69 m3'],Feike de Boerlaan,M33f,M33,M,1,0,0,0,0,1,True,0.0
1375,124647,484643,776724.0,151703.0,afval_cluster,124647.181|484642.891,['Rest:2'],['Rest:10 m3'],Linnaeusparkweg,M56c,M56,M,2,0,0,0,0,2,True,0.0
1376,124648,487316,492160.0,165477.0,afval_cluster,124648.138|487316.196,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:9.38 m3', 'Glas:4.69 m3', 'Papier:4.69 m3']",Baron G.A. Tindalstraat,M33e,M33,M,2,0,1,1,0,4,True,0.0
1377,124652,486214,878077.0,32893.0,afval_cluster,124651.774|486213.970,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:4.69 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:4.69 m3']",Ceramplein,M32a,M32,M,1,1,1,1,0,4,True,0.0
1378,124655,486017,542220.0,42946.0,afval_cluster,124654.897|486016.963,"['Rest:3', 'Papier:1']","['Rest:14.07 m3', 'Papier:4.69 m3']",Solostraat,M32b,M32,M,3,0,1,0,0,4,True,0.0
1379,124660,486272,959910.0,28501.0,afval_cluster,124660.464|486272.258,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:4.69 m3', 'Glas:4.69 m3', 'Papier:5 m3', 'Plastic:4.69 m3']",Javastraat,M32a,M32,M,1,1,1,1,0,4,True,0.0
1380,124661,486176,733858.0,22626.0,afval_cluster,124660.747|486175.532,['Rest:2'],['Rest:9.38 m3'],Ceramplein,M32a,M32,M,2,0,0,0,0,2,True,0.0
