,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,split,x,y,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
464,124012,484524,10051.0,124011.851~484523.762~afval_cluster~124011.851|484523.762,493260.0,90991.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b6230006-d5fc-9807-0eb1-c1a34ce1ca7d,False,357.0,afval_cluster,124011.851|484523.762,"['124011.851', '484523.762', 'afval_cluster', '124011.851|484523.762']",124012.0,484524.0,"['Rest:2', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:12 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Kapteynstraat,M55h,M55,M,1,0,1,2,1,5,True,999.0
465,129485,484579,122546.0,129485.252~484578.699~afval_cluster~129485.252|484578.699,605817.0,120020.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4a31bd62-a73d-43fa-0231-dfbd5daa6c4c,False,357.0,afval_cluster,129485.252|484578.699,"['129485.252', '484578.699', 'afval_cluster', '129485.252|484578.699']",129485.0,484579.0,['Rest:2'],['Rest:9.38 m3'],Wim Noordhoekkade,M51b,M51,M,1,0,0,1,0,2,True,999.0
466,128472,485485,417899.0,128471.829~485485.286~afval_cluster~128471.829|485485.286,901342.0,11493.0,2020-04-01 13:57:12,2020-04-01 13:57:12,28ee9aed-ffcc-efff-2c0e-1d49e115802c,False,357.0,afval_cluster,128471.829|485485.286,"['128471.829', '485485.286', 'afval_cluster', '128471.829|485485.286']",128472.0,485485.0,['Rest:2'],['Rest:9.38 m3'],Erich Salomonstraat,M35f,M35,M,1,0,0,1,0,2,True,999.0
467,117595,487575,470967.0,117594.511~487574.937~afval_cluster~117594.511|487574.937,954435.0,40846.0,2020-04-01 13:57:12,2020-04-01 13:57:12,0fa28dc9-5a08-b709-4f82-9ae776aead27,False,357.0,afval_cluster,117594.511|487574.937,"['117594.511', '487574.937', 'afval_cluster', '117594.511|487574.937']",117595.0,487575.0,['Rest:1'],['Rest:5 m3'],Ben Brilstraat,E39b,E39,E,0,0,1,0,0,1,True,999.0
468,119387,482046,145851.0,119386.920~482046.343~afval_cluster~119386.920|482046.343,629132.0,57549.0,2020-04-01 13:57:12,2020-04-01 13:57:12,36367d37-d3fd-d1e7-cabe-cbe363c0ac89,False,357.0,afval_cluster,119386.920|482046.343,"['119386.920', '482046.343', 'afval_cluster', '119386.920|482046.343']",119387.0,482046.0,['Rest:2'],['Rest:8 m3'],Oudaen,K90d,K90,K,1,0,1,0,0,2,True,999.0
469,117928,488326,433175.0,117927.951~488325.779~afval_cluster~117927.951|488325.779,916624.0,13289.0,2020-04-01 13:57:12,2020-04-01 13:57:12,e7c91bca-eea3-a0a1-d469-121083869c05,False,357.0,afval_cluster,117927.951|488325.779,"['117927.951', '488325.779', 'afval_cluster', '117927.951|488325.779']",117928.0,488326.0,['Rest:2'],['Rest:10 m3'],Wiltzanghlaan,E39d,E39,E,1,0,1,0,0,2,True,999.0
470,121109,484328,12424.0,121108.609~484327.873~afval_cluster~121108.609|484327.873,495633.0,151689.0,2020-04-01 13:57:12,2020-04-01 13:57:12,36c1ce3a-af91-aec8-9897-4e9a937846ed,False,357.0,afval_cluster,121108.609|484327.873,"['121108.609', '484327.873', 'afval_cluster', '121108.609|484327.873']",121109.0,484328.0,['Rest:3'],['Rest:12 m3'],Grevelingenstraat,K52a,K52,K,2,0,0,1,0,3,True,999.0
471,119675,486603,122537.0,119675.098~486602.640~afval_cluster~119675.098|486602.640,605807.0,13218.0,2020-04-01 13:57:12,2020-04-01 13:57:12,00fe3dd4-ba84-ccf2-4553-4b52a6eb04f2,False,357.0,afval_cluster,119675.098|486602.640,"['119675.098', '486602.640', 'afval_cluster', '119675.098|486602.640']",119675.0,486603.0,['Rest:4'],['Rest:20 m3'],Kinkerstraat,E19b,E19,E,3,0,0,1,0,4,True,999.0
472,124880,487101,14945.0,124880.491~487101.336~afval_cluster~124880.491|487101.336,498154.0,98692.0,2020-04-01 13:57:12,2020-04-01 13:57:12,f772e4fb-5efe-7f2a-cb0b-ac547ac2da74,False,357.0,afval_cluster,124880.491|487101.336,"['124880.491', '487101.336', 'afval_cluster', '124880.491|487101.336']",124880.0,487101.0,['Rest:1'],['Rest:4.69 m3'],Borneokade,M33f,M33,M,1,0,0,0,0,1,False,1.0
473,124492,485026,150621.0,124491.728~485025.843~afval_cluster~124491.728|485025.843,633903.0,142707.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1f8cef71-d697-0eb8-560f-951db0424f49,False,357.0,afval_cluster,124491.728|485025.843,"['124491.728', '485025.843', 'afval_cluster', '124491.728|485025.843']",124492.0,485026.0,['Rest:1'],['Rest:5 m3'],Mariotteplein,M56c,M56,M,1,0,0,0,0,1,True,999.0
